Loan_ID,Loan_Status
LP001015,Y
LP001022,Y
LP001031,Y
LP001035,Y
LP001051,N
LP001054,Y
LP001055,N
LP001056,Y
LP001059,Y
LP001067,N
LP001078,N
LP001082,Y
LP001083,N
LP001094,Y
LP001096,N
LP001099,N
LP001105,Y
LP001107,Y
LP001108,Y
LP001115,N
LP001121,Y
LP001124,N
LP001128,N
LP001135,N
LP001149,Y
LP001153,N
LP001163,Y
LP001169,Y
LP001174,Y
LP001176,N
LP001177,N
LP001183,Y
LP001185,N
LP001187,Y
LP001190,Y
LP001203,N
LP001208,Y
LP001210,Y
LP001211,N
LP001219,N
LP001220,Y
LP001221,N
LP001226,Y
LP001230,N
LP001231,N
LP001232,Y
LP001237,Y
LP001242,N
LP001268,N
LP001270,Y
LP001284,Y
LP001287,Y
LP001291,Y
LP001298,Y
LP001312,Y
LP001313,N
LP001317,N
LP001321,Y
LP001323,Y
LP001324,Y
LP001332,Y
LP001335,Y
LP001338,N
LP001347,N
LP001348,Y
LP001351,Y
LP001352,Y
LP001358,Y
LP001359,Y
LP001361,Y
LP001366,N
LP001368,N
LP001375,Y
LP001380,Y
LP001386,Y
LP001400,N
LP001407,Y
LP001413,N
LP001415,Y
LP001419,Y
LP001420,Y
LP001428,Y
LP001445,Y
LP001446,Y
LP001450,Y
LP001452,Y
LP001455,Y
LP001466,N
LP001471,N
LP001472,N
LP001475,Y
LP001483,Y
LP001486,Y
LP001490,Y
LP001496,Y
LP001499,Y
LP001500,Y
LP001501,Y
LP001517,Y
LP001527,Y
LP001534,N
LP001542,Y
LP001547,Y
LP001548,Y
LP001558,N
LP001561,Y
LP001563,N
LP001567,Y
LP001568,Y
LP001573,Y
LP001584,N
LP001587,Y
LP001589,N
LP001591,Y
LP001599,Y
LP001601,N
LP001607,N
LP001611,Y
LP001613,N
LP001622,Y
LP001627,N
LP001650,Y
LP001651,Y
LP001652,N
LP001655,N
LP001660,N
LP001662,N
LP001663,Y
LP001667,N
LP001695,Y
LP001703,Y
LP001718,N
LP001728,Y
LP001735,N
LP001737,N
LP001739,Y
LP001742,Y
LP001757,Y
LP001769,N
LP001771,N
LP001785,N
LP001787,Y
LP001789,Y
LP001791,Y
LP001794,Y
LP001797,N
LP001815,N
LP001817,N
LP001818,Y
LP001822,N
LP001827,N
LP001831,Y
LP001842,N
LP001853,Y
LP001855,Y
LP001857,N
LP001862,Y
LP001867,Y
LP001878,N
LP001881,Y
LP001886,N
LP001906,N
LP001909,N
LP001911,N
LP001921,N
LP001923,N
LP001933,N
LP001943,Y
LP001950,Y
LP001959,Y
LP001961,N
LP001973,Y
LP001975,Y
LP001979,N
LP001995,Y
LP001999,Y
LP002007,Y
LP002009,N
LP002016,Y
LP002017,Y
LP002018,Y
LP002027,Y
LP002028,Y
LP002042,Y
LP002045,Y
LP002046,Y
LP002047,Y
LP002056,Y
LP002057,Y
LP002059,Y
LP002062,Y
LP002064,N
LP002069,Y
LP002070,Y
LP002077,Y
LP002083,N
LP002090,Y
LP002096,Y
LP002099,Y
LP002102,Y
LP002105,Y
LP002107,Y
LP002111,Y
LP002117,Y
LP002118,N
LP002123,Y
LP002125,Y
LP002148,Y
LP002152,N
LP002165,N
LP002167,N
LP002168,N
LP002172,Y
LP002176,N
LP002183,Y
LP002184,Y
LP002186,Y
LP002192,Y
LP002195,Y
LP002208,Y
LP002212,Y
LP002240,Y
LP002245,Y
LP002253,N
LP002256,N
LP002257,N
LP002264,Y
LP002270,Y
LP002279,N
LP002286,Y
LP002294,N
LP002298,N
LP002306,Y
LP002310,N
LP002311,Y
LP002316,N
LP002321,N
LP002325,Y
LP002326,Y
LP002329,N
LP002333,N
LP002339,Y
LP002344,Y
LP002346,Y
LP002354,N
LP002355,Y
LP002358,Y
LP002360,Y
LP002375,Y
LP002376,N
LP002383,Y
LP002385,Y
LP002389,N
LP002394,Y
LP002397,Y
LP002399,N
LP002400,Y
LP002402,Y
LP002412,Y
LP002415,N
LP002417,Y
LP002420,Y
LP002425,N
LP002433,Y
LP002440,Y
LP002441,N
LP002442,Y
LP002445,N
LP002450,Y
LP002471,N
LP002476,Y
LP002482,N
LP002485,N
LP002495,Y
LP002496,N
LP002523,Y
LP002542,Y
LP002550,N
LP002551,Y
LP002553,N
LP002554,N
LP002561,Y
LP002566,N
LP002568,N
LP002570,Y
LP002572,Y
LP002581,Y
LP002584,N
LP002592,N
LP002593,Y
LP002599,Y
LP002604,Y
